證券名稱,簡稱,年月日,外資買賣超(千股),外資買賣超市值(百萬),投信買賣超(千股),投信買賣超市值(百萬),自營買賣超(千股),自營買賣超市值(百萬)
M2000  ,鋼鐵工業類指數,20000315,        -,  -405.51,        -,        -,        -,        -
M1800  ,玻璃陶瓷類指數,20000315,        -,    -7.04,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000315,        -,    -6.47,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000316,        -,    -9.61,        -,        -,        -,        -
M2500  ,建材營造類指數,20000316,      -10,   -54.63,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000316,        -,  -356.00,        -,        -,        -,        -
M1800  ,玻璃陶瓷類指數,20000316,        -,    -2.55,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000316,        -,    16.60,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000317,        -,    20.45,        -,        -,        -,        -
M2500  ,建材營造類指數,20000317,        0,   -41.48,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000317,        -,  -210.77,        -,        -,        -,        -
M1800  ,玻璃陶瓷類指數,20000317,        -,   -14.34,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000317,        -,   -14.33,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000320,        -,   -38.76,        -,        -,        -,        -
M2500  ,建材營造類指數,20000320,        0,     0.82,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000320,        -,     7.63,        -,        -,        -,        -
M1800  ,玻璃陶瓷類指數,20000320,        -,    -1.13,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000320,        -,   -76.01,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000321,        -,    -0.61,        -,        -,        -,        -
M2500  ,建材營造類指數,20000321,        6,   -33.26,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000321,        -,  -476.62,        -,        -,        -,        -
M1800  ,玻璃陶瓷類指數,20000321,        -,    -3.50,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000321,        -,    -4.05,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000322,        -,     9.70,        -,        -,        -,        -
M2500  ,建材營造類指數,20000322,        0,   -18.28,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000322,        -,  -247.38,        -,        -,        -,        -
M1800  ,玻璃陶瓷類指數,20000322,        -,    -0.30,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000322,        -,     2.93,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000323,        -,   -48.82,        -,        -,        -,        -
M2500  ,建材營造類指數,20000323,       -6,   -15.29,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000323,        -,  -188.07,        -,        -,        -,        -
M1800  ,玻璃陶瓷類指數,20000323,        -,    -1.62,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000323,        -,   -65.53,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000324,        -,   -11.53,        -,        -,        -,        -
M2500  ,建材營造類指數,20000324,        0,     0.53,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000324,        -,   -68.08,        -,        -,        -,        -
M1800  ,玻璃陶瓷類指數,20000324,        -,    -0.33,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000324,        -,    -0.36,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000327,        -,   -74.89,        -,        -,        -,        -
M2500  ,建材營造類指數,20000327,        0,    -4.88,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000327,        -,  -195.94,        -,        -,        -,        -
M1800  ,玻璃陶瓷類指數,20000327,        -,     0.00,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000327,        -,   -10.12,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000328,        -,   -13.53,        -,        -,        -,        -
M2500  ,建材營造類指數,20000328,        0,    12.64,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000328,        -,   -15.38,        -,        -,        -,        -
M1800  ,玻璃陶瓷類指數,20000328,        -,    -0.44,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000328,        -,   -13.93,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000329,        -,    -3.86,        -,        -,        -,        -
M2500  ,建材營造類指數,20000329,        0,    -9.84,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000329,        -,  -131.89,        -,        -,        -,        -
M1800  ,玻璃陶瓷類指數,20000329,        -,    -1.11,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000329,        -,    -1.16,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000330,        -,   -42.87,        -,        -,        -,        -
M2500  ,建材營造類指數,20000330,        0,     7.13,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000330,        -,  -526.66,        -,        -,        -,        -
M1800  ,玻璃陶瓷類指數,20000330,        -,     3.10,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000330,        -,     2.08,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000331,        -,  -163.15,        -,        -,        -,        -
M2500  ,建材營造類指數,20000331,        0,    -9.44,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000331,        -,  -475.13,        -,        -,        -,        -
M1800  ,玻璃陶瓷類指數,20000331,        -,    -1.52,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000331,        -,    -4.13,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000401,        -,    -0.65,        -,        -,        -,        -
M2500  ,建材營造類指數,20000401,        0,    -0.45,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000401,        -,    -2.05,        -,        -,        -,        -
M1800  ,玻璃陶瓷類指數,20000401,        -,    -0.13,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000401,        -,    -0.16,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000405,        -,  -128.36,        -,        -,        -,        -
M2500  ,建材營造類指數,20000405,        0,   -17.58,        0,     0.00,        0,     0.00
