Date,BTC,trend,ADA,ALGO,ATOM,BAT,BCH,BNB,ZIL,ETH,ICX,IOTA,LINK,LTC,NEO,QTUM,TRX,VET,XLM,XRP,ZEC,ZRX
2021/4/12,"59,868.30",1,1.31557,1.4838,22.024,1.4169,671.01,598.69,0.19654,"2,138.25",2.6677,2.0002,33.1,244.39,64.71,14.526,0.12884,0.128654,0.59062,1.4679,221.46,2.1317
2021/4/13,"63,533.80",1,1.41367,1.5159,23.829,1.5,745.24,550.14,0.2025,"2,299.81",2.5786,2.1705,35.52,267.37,66.624,15.059,0.14654,0.153212,0.65643,1.79601,226.09,2.3021
2021/4/14,"62,985.70",1,1.4515,1.4629,27.023,1.4628,815.13,549.63,0.19998,"2,431.24",2.5142,2.1173,41.35,278.76,68.941,15.893,0.14021,0.168086,0.63504,1.83486,237.47,2.1585
2021/4/15,"63,207.20",1,1.47871,1.57,27.865,1.5194,865.22,542.32,0.21566,"2,515.26",2.5658,2.1829,42.61,285.81,74.893,17.601,0.16381,0.175931,0.63929,1.75775,252.36,2.2014
2021/4/16,"61,335.20",1,1.41058,1.5053,25.488,1.528,"1,105.53",508.27,0.23693,"2,423.10",2.6043,2.516,41.98,309.04,86.833,18.355,0.16126,0.23592,0.61,1.54785,270.66,2.0735
2021/4/17,"60,045.90",1,1.37114,1.6783,24.341,1.4739,989.05,515.13,0.21964,"2,319.96",2.6763,2.3289,39.89,301.91,93.478,17.266,0.15529,0.226726,0.59148,1.5396,279.98,2.0355
2021/4/18,"56,185.60",1,1.27665,1.4567,21.41,1.3483,972.96,481.46,0.20181,"2,237.12",2.3512,2.3647,39.08,273.02,118,18.274,0.14297,0.253721,0.54461,1.4067,260.03,1.7606
2021/4/19,"55,627.70",1,1.19412,1.2924,19.251,1.3146,890.43,504.01,0.18141,"2,160.56",2.1374,2.08,35.78,261.36,109.2,18.255,0.12982,0.228392,0.49964,1.30946,225.53,1.5839
2021/4/20,"56,472.20",1,1.26766,1.2909,21.238,1.2649,940.74,587.5,0.19254,"2,333.26",2.213,2.1956,38.97,261,108.044,17.499,0.13285,0.251237,0.52922,1.38676,248.79,1.7039
2021/4/21,"53,828.70",1,1.20395,1.2095,19.574,1.2049,910.15,543.28,0.17587,"2,362.57",2.1434,2.0605,36.26,257.8,96.854,15.777,0.12275,0.225987,0.48969,1.29029,237.2,1.6345
2021/4/22,"51,703.60",1,1.14694,1.163,18.785,1.071,853.51,505.74,0.16202,"2,398.49",1.9235,1.8287,35.2,252.83,90.26,13.409,0.1101,0.190453,0.44986,1.15903,224.44,1.4936
2021/4/23,"51,125.10",1,1.15625,1.1663,20.504,1.1719,839.5,526.54,0.15922,"2,367.19",1.8363,1.8727,35.11,241.39,86.061,13.058,0.1091,0.201394,0.45021,1.17001,220.64,1.4713
2021/4/24,"50,075.10",1,1.10135,1.0895,18.428,1.0334,769.9,497.52,0.14338,"2,217.30",1.6476,1.6673,31.2,224.93,79.684,11.657,0.10279,0.178479,0.42514,1.04977,198.28,1.323
2021/4/25,"48,961.90",1,1.0899,1.0945,18.666,1.0243,757.07,504.26,0.14098,"2,315.98",1.7226,1.6365,31.6,223.57,79.457,11.925,0.10163,0.16786,0.41623,1.0335,202.42,1.3409
